,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,colony,notes
215,092023_BEL_CBC_T3_173_OFAV,Healthy,11_12_2024,106,UML_NARWHAL_R2_B12,,3_66,
216,092023_BEL_CBC_T3_174_OFAV,Healthy,11_12_2024,30.2,UML_NARWHAL_R2_B12,,3_38,
217,092023_BEL_CBC_T3_175_MCAV,Healthy,11_12_2024,22,UML_NARWHAL_R2_B12,,3_14,
218,092023_BEL_CBC_T3_176_MCAV,Healthy,11_12_2024,78.8,UML_NARWHAL_R2_B12,,3_2,
219,092023_BEL_CBC_T3_177_SSID,Healthy,11_12_2024,16.3,UML_NARWHAL_R2_B12,,3_5,
220,092023_BEL_CBC_T3_178_PAST,Healthy,11_12_2024,11.1,UML_NARWHAL_R2_B12,,3_6,
221,092023_BEL_CBC_T3_181_PAST,Healthy,11_12_2024,10.5,UML_NARWHAL_R2_B12,,3_10,
222,092023_BEL_CBC_T3_182_MCAV,Healthy,11_12_2024,78.4,UML_NARWHAL_R2_B12,,3_21,
223,092023_BEL_CBC_T3_183_SSID,Healthy,11_12_2024,48.4,UML_NARWHAL_R2_B12,,3_33,
224,092023_BEL_CBC_T3_184_PAST,Healthy,11_12_2024,44.8,UML_NARWHAL_R2_B12,,3_34,
225,092023_BEL_CBC_T3_195_PSTR,Healthy,11_12_2024,8.52,UML_NARWHAL_R2_B12,,3_70,
226,092023_BEL_CBC_T4_91_MCAV,Healthy,11_12_2024,80.6,UML_NARWHAL_R2_B12,,4_28,
227,092023_BEL_CBC_T4_92_PSTR,Healthy,11_12_2024,4.54,UML_NARWHAL_R2_B12,,4_98,
228,092023_BEL_CBC_T4_93_PSTR,Healthy,11_12_2024,31.4,UML_NARWHAL_R2_B12,,4_79,
229,092023_BEL_CBC_T4_94_MCAV,Healthy,11_12_2024,9.32,UML_NARWHAL_R2_B12,,4_76,
230,092023_BEL_CBC_T4_95_OFAV,Healthy,11_12_2024,79.6,UML_NARWHAL_R2_B12,,4_78,
231,092023_BEL_CBC_T4_96_MCAV,Healthy,11_12_2024,16.5,UML_NARWHAL_R2_B12,,4_30,
232,102019_BEL_CBC_T1_29_PSTR,Healthy,5_30_2023,3.2," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3",10_17_2023,1_12,
233,102019_BEL_CBC_T3_35_PSTR,Healthy,6_6_2023,30.3,UML_NARWHAL_R2_B3,10_4_2023,3_20,
234,112023_BEL_CBC_T1_273_PAST,Healthy,11_13_2024,7.5,UML_NARWHAL_R2_B12,,1_2,
235,112023_BEL_CBC_T1_274_PAST,Healthy,11_13_2024,0.386,UML_NARWHAL_R2_B12,,1_21,
236,112023_BEL_CBC_T1_275_SSID,Healthy,11_13_2024,35,UML_NARWHAL_R2_B12,,1_3,
237,112023_BEL_CBC_T1_276_MCAV,Healthy,11_13_2024,11.1,UML_NARWHAL_R2_B12,,1_24,
238,112023_BEL_CBC_T1_277_OFAV/OANN,Healthy,11_13_2024,7.88,UML_NARWHAL_R2_B12,,1_25,
239,112023_BEL_CBC_T1_278_PSTR,Healthy,11_13_2024,19.5,UML_NARWHAL_R2_B12,,1_12,
240,112023_BEL_CBC_T2_304_OFAV,Healthy,11_13_2024,96,UML_NARWHAL_R2_B12,,2_76,
241,112023_BEL_CBC_T2_305_PAST,Healthy,11_13_2024,9.24,UML_NARWHAL_R2_B12,,2_68,
242,112023_BEL_CBC_T2_306_MCAV,Healthy,11_13_2024,32.8,UML_NARWHAL_R2_B12,,2_69,
243,112023_BEL_CBC_T2_307_SSID,Healthy,11_13_2024,45.4,UML_NARWHAL_R2_B12,,2_99,
244,112023_BEL_CBC_T2_308_PAST,Healthy,11_13_2024,12.1,UML_NARWHAL_R2_B12,,2_63,
245,112023_BEL_CBC_T2_309_PAST,Healthy,11_13_2024,5.92,UML_NARWHAL_R2_B12,,2_57,
246,112023_BEL_CBC_T2_310_MCAV,Healthy,11_13_2024,68.2,UML_NARWHAL_R2_B12,,2_55,
247,112023_BEL_CBC_T2_311_MCAV,Healthy,11_13_2024,47,UML_NARWHAL_R2_B12,,2_60,
248,112023_BEL_CBC_T2_312_OFAV,Healthy,11_13_2024,50.6,UML_NARWHAL_R2_B12,,2_79,
249,112023_BEL_CBC_T2_313_SSID,Healthy,11_13_2024,43.4,UML_NARWHAL_R2_B12,,2_72,
250,112023_BEL_CBC_T2_314_SSID,Healthy,11_13_2024,65.6,UML_NARWHAL_R2_B12,,2_73,
251,112023_BEL_CBC_T3_347_MCAV,Healthy,11_15_2024,10.1,UML_NARWHAL_R2_B12,,3_2,
252,112023_BEL_CBC_T3_348_SSID,Healthy,11_15_2024,15.2,UML_NARWHAL_R2_B12,,3_5,
253,112023_BEL_CBC_T3_349_PAST,Healthy,11_15_2024,5.72,UML_NARWHAL_R2_B12,,3_6,
254,112023_BEL_CBC_T3_350_OFAV,Healthy,11_15_2024,73.6,UML_NARWHAL_R2_B12,,3_38,
255,112023_BEL_CBC_T3_351_OFAV,Healthy,11_15_2024,45.2,UML_NARWHAL_R2_B12,,3_66,
256,112023_BEL_CBC_T3_352_PAST,Healthy,11_15_2024,9.16,UML_NARWHAL_R2_B12,,3_10,
257,112023_BEL_CBC_T3_353_MCAV,Healthy,11_15_2024,10.6,UML_NARWHAL_R2_B12,,3_14,
258,112023_BEL_CBC_T3_354_PSTR,Healthy,11_15_2024,2.34,UML_NARWHAL_R2_B12,,3_20,
259,112023_BEL_CBC_T3_355_PSTR,Healthy,11_15_2024,1.27,UML_NARWHAL_R2_B12,,3_70,
260,112023_BEL_CBC_T3_356_MCAV,Healthy,11_15_2024,67.6,UML_NARWHAL_R2_B12,,3_21,
261,112023_BEL_CBC_T3_357_OFAV,Healthy,11_15_2024,50.6,UML_NARWHAL_R2_B12,,3_39,
262,112023_BEL_CBC_T3_358_SSID,Healthy,11_15_2024,102,UML_NARWHAL_R2_B12,,3_33,
263,112023_BEL_CBC_T3_359_PAST,Healthy,11_15_2024,1.98,UML_NARWHAL_R2_B12,,3_34,
264,112023_BEL_CBC_T4_396_MCAV,Healthy,11_15_2024,45.8,UML_NARWHAL_R2_B12,,4_28,
265,112023_BEL_CBC_T4_397_PSTR,Healthy,11_15_2024,11.9,UML_NARWHAL_R2_B12,,4_98,
266,112023_BEL_CBC_T4_398_PSTR,Healthy,11_15_2024,3.08,UML_NARWHAL_R2_B12,,4_79,
267,112023_BEL_CBC_T4_399_MCAV,Healthy,11_15_2024,13.9,UML_NARWHAL_R2_B12,,4_76,
268,112023_BEL_CBC_T4_400_OFAV,Healthy,11_15_2024,47.8,UML_NARWHAL_R2_B12,,4_78,
269,112023_BEL_CBC_T4_401_MCAV,Healthy,11_15_2024,21.8,UML_NARWHAL_R2_B12,,4_30,
270,122022_BEL_CBC_T1_122_PSTR,Healthy,7_12_2024,9.58,UML_NARWHAL_R2_B26,8_6_2024,1_12,
271,122022_BEL_CBC_T1_123_OANN,Healthy,7_16_2024,9.51,UML_NARWHAL_R2_B26,8_6_2024,1_25,
272,122022_BEL_CBC_T1_150_PAST,Healthy,8_19_2024,5.72,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,1_21,
273,122022_BEL_CBC_T1_151_MCAV,Healthy,8_12_2024,0.218,UML_NARWHAL_R2_B26,10_6_2024,1_24,
274,122022_BEL_CBC_T1_152_PAST,Healthy,8_19_2024,1.16,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,1_13,
275,122022_BEL_CBC_T1_156_SSID,Healthy,12_2_2024,5.33,UML_NARWHAL_R2_B14,,1_3,
276,122022_BEL_CBC_T1_158_PAST,Healthy,8_19_2024,2.53,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,1_2,
277,122022_BEL_CBC_T2_100_PAST,Healthy,8_19_2024,15.6,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,2_63,
278,122022_BEL_CBC_T2_83_PAST,Healthy,9_11_2024,21.8,UML_NARWHAL_R2_B29,9_28_2024,2_57,
279,122022_BEL_CBC_T2_86_MCAV,Healthy,8_12_2024,0.093,UML_NARWHAL_R2_B26,10_6_2024,2_60,
280,122022_BEL_CBC_T2_87_OFAV,Healthy,6_27_2023,62.2,UML_NARWHAL_R2_B3,10_11_23,2_79,
281,122022_BEL_CBC_T2_88_MCAV,Healthy,8_12_2024,0.884,UML_NARWHAL_R2_B26,10_6_2024,2_55,
282,122022_BEL_CBC_T2_90_SSID,Healthy,12_4_2024,30.7,UML_NARWHAL_R2_B15,,2_73,
283,122022_BEL_CBC_T2_92_MCAV,Healthy,8_12_2024,0.166,UML_NARWHAL_R2_B26,10_6_2024,2_69,
284,122022_BEL_CBC_T2_93_OFAV,Healthy,6_27_2023,46.1,UML_NARWHAL_R2_B3,10_11_23,2_76,
285,122022_BEL_CBC_T2_94_PAST,Healthy,9_11_2024,27.6,UML_NARWHAL_R2_B29,10_6_2024,2_68,
286,122022_BEL_CBC_T2_96_SSID,Healthy,1_13_2025,12.1,UML_NARWHAL_R2_B15,,2_72,
287,122022_BEL_CBC_T3_116_PAST,Healthy,9_11_2024,30.9,UML_NARWHAL_R2_B29,10_6_2024,3_6,
288,122022_BEL_CBC_T3_119_MCAV,Healthy,8_12_2024,0.388,UML_NARWHAL_R2_B26,10_6_2024,3_2,
289,122022_BEL_CBC_T3_120_SSID,Healthy,1_14_2025,11.8,UML_NARWHAL_R2_B15,,3_5,
290,122022_BEL_CBC_T3_121_OFAV,Healthy,6_22_2023,103.2,UML_NARWHAL_R2_B3,10_16_2023,3_38,
291,122022_BEL_CBC_T3_123_PAST,Healthy,9_11_2024,2.67,UML_NARWHAL_R2_B29,10_16_2024,3_10,
292,122022_BEL_CBC_T3_124_PAST,Healthy,9_11_2024,2.7,UML_NARWHAL_R2_B29,10_16_2024,3_34,
293,122022_BEL_CBC_T3_126_SSID,Healthy,1_14_2025,61,UML_NARWHAL_R2_B15,,3_33,
294,122022_BEL_CBC_T3_127_OFAV,Healthy,6_22_2023,36.3,UML_NARWHAL_R2_B3,10_11_23,3_39,
295,122022_BEL_CBC_T3_128_MCAV,Healthy,8_12_2024,1.07,UML_NARWHAL_R2_B26,10_6_2024,3_21,
296,122022_BEL_CBC_T3_141_PSTR,Healthy,7_12_2024,6.21,UML_NARWHAL_R2_B26,8_6_2024,3_20,
297,122022_BEL_CBC_T3_142_MCAV,Healthy,8_12_2024,0.355,UML_NARWHAL_R2_B26,10_6_2024,3_14,
298,122022_BEL_CBC_T3_151_PSTR,Healthy,7_12_2024,10.8,UML_NARWHAL_R2_B26,8_6_2024,3_70,
299,122022_BEL_CBC_T4_1_OFAV,Healthy,7_16_2024,44.7,UML_NARWHAL_R2_B26,8_6_2024,4_78,
300,122022_BEL_CBC_T4_11_MCAV,Healthy,8_12_2024,0.348,UML_NARWHAL_R2_B29,11_6_2024,4_30,
301,122022_BEL_CBC_T4_3_MCAV,Healthy,8_12_2024,0.314,UML_NARWHAL_R2_B26,10_6_2024,4_76,
302,122022_BEL_CBC_T4_34_PSTR,Healthy,7_12_2024,3.99,UML_NARWHAL_R2_B26,10_16_2024,4_98,
303,122022_BEL_CBC_T4_38_MCAV,Healthy,8_12_2024,3.1,UML_NARWHAL_R2_B26,10_6_2024,4_28,
304,122022_BEL_CBC_T4_4_PSTR,Healthy,7_12_2024,7.07,UML_NARWHAL_R2_B26,8_6_2024,4_79,
305,122023_BEL_CBC_T1_506_PAST,Healthy,11_18_2024,3.44,UML_NARWHAL_R2_B13,,1_2,
306,122023_BEL_CBC_T1_507_PAST,Healthy,11_18_2024,1.58,UML_NARWHAL_R2_B13,,1_21,
307,122023_BEL_CBC_T1_508_SSID,Healthy,11_18_2024,15.7,UML_NARWHAL_R2_B13,,1_3,
308,122023_BEL_CBC_T1_509_MCAV,Healthy,11_18_2024,16.4,UML_NARWHAL_R2_B13,,1_24,
309,122023_BEL_CBC_T1_510_PSTR,Healthy,11_18_2024,57.8,UML_NARWHAL_R2_B13,,1_12,
310,122023_BEL_CBC_T1_511_OFAV/OANN,Healthy,11_18_2024,7.38,UML_NARWHAL_R2_B13,,1_25,
311,122023_BEL_CBC_T2_512_OFAV,Healthy,11_18_2024,28.4,UML_NARWHAL_R2_B13,,2_76,
312,122023_BEL_CBC_T2_513_SSID,Healthy,11_18_2024,18.8,UML_NARWHAL_R2_B13,,2_73,
313,122023_BEL_CBC_T2_514_SSID,Healthy,11_18_2024,25,UML_NARWHAL_R2_B13,,2_72,
314,122023_BEL_CBC_T2_515_PAST,Healthy,11_18_2024,9.86,UML_NARWHAL_R2_B13,,2_68,
315,122023_BEL_CBC_T2_516_MCAV,Healthy,11_18_2024,22.4,UML_NARWHAL_R2_B13,,2_69,
316,122023_BEL_CBC_T2_517_SSID,Healthy,11_18_2024,36.6,UML_NARWHAL_R2_B13,,2_99,
317,122023_BEL_CBC_T2_518_MCAV,Healthy,11_18_2024,18.8,UML_NARWHAL_R2_B13,,2_55,
318,122023_BEL_CBC_T2_519_PAST,Healthy,11_18_2024,14.4,UML_NARWHAL_R2_B13,,2_63,
319,122023_BEL_CBC_T2_520_PAST,Healthy,11_18_2024,5.98,UML_NARWHAL_R2_B13,,2_57,
320,122023_BEL_CBC_T2_521_OFAV,Healthy,11_18_2024,37.6,UML_NARWHAL_R2_B13,,2_79,
321,122023_BEL_CBC_T2_522_MCAV,Healthy,11_18_2024,17.3,UML_NARWHAL_R2_B13,,2_60,
322,122023_BEL_CBC_T3_479_PAST ,Healthy,11_19_2024,1.75,UML_NARWHAL_R2_B13,,3_34,
323,122023_BEL_CBC_T3_523_MCAV,Healthy,11_19_2024,33,UML_NARWHAL_R2_B13,,3_2,
324,122023_BEL_CBC_T3_524_OFAV,Healthy,11_19_2024,71.8,UML_NARWHAL_R2_B13,,3_38,
325,122023_BEL_CBC_T3_525_PAST,Healthy,11_19_2024,2.54,UML_NARWHAL_R2_B13,,3_6,
326,122023_BEL_CBC_T3_526_SSID,Healthy,11_19_2024,16.4,UML_NARWHAL_R2_B13,,3_5,
327,122023_BEL_CBC_T3_527_OFAV,Healthy,11_19_2024,16.1,UML_NARWHAL_R2_B13,,3_66,
328,122023_BEL_CBC_T3_528_PAST ,Healthy,11_19_2024,3.06,UML_NARWHAL_R2_B13,,3_10,
329,122023_BEL_CBC_T3_529_MCAV,Healthy,11_19_2024,34.8,UML_NARWHAL_R2_B13,,3_14,
330,122023_BEL_CBC_T3_530_PSTR,Healthy,11_19_2024,1.18,UML_NARWHAL_R2_B13,,3_20,
331,122023_BEL_CBC_T3_531_PSTR,Healthy,11_19_2024,16.8,UML_NARWHAL_R2_B13,,3_70,
332,122023_BEL_CBC_T3_532_MCAV,Healthy,11_19_2024,93.8,UML_NARWHAL_R2_B13,,3_21,
333,122023_BEL_CBC_T3_533_OFAV,Healthy,11_19_2024,51.2,UML_NARWHAL_R2_B13,,3_39,
334,122023_BEL_CBC_T3_534_SSID,Healthy,11_19_2024,28.4,UML_NARWHAL_R2_B13,,3_33,
335,122023_BEL_CBC_T4_535_MCAV,Healthy,11_19_2024,22.6,UML_NARWHAL_R2_B13,,4_28,
336,122023_BEL_CBC_T4_536_PSTR,Healthy,11_19_2024,25.2,UML_NARWHAL_R2_B13,,4_98,
337,122023_BEL_CBC_T4_537_PSTR,Healthy,11_19_2024,5.22,UML_NARWHAL_R2_B13,,4_79,
338,122023_BEL_CBC_T4_538_OFAV,Healthy,11_19_2024,17.7,UML_NARWHAL_R2_B13,,4_78,
339,122023_BEL_CBC_T4_539_MCAV,Healthy,11_19_2024,27.8,UML_NARWHAL_R2_B13,,4_76,
340,122023_BEL_CBC_T4_540_MCAV,Healthy,11_19_2024,49.8,UML_NARWHAL_R2_B13,,4_30,
